Depth,Lith_geo,CALI,DRHO,NPHI,RHOB,GR,DTC,DTE,RDEP,SP,RSHA,Rxo,RMED
3400.06543,12,11.17199993,0.046999998,0.155760005,2.213000059,36.76800156,73.26571655,21592100,2.726999998,82.16300201,3.219000101,4.215000153,3.219000101
3400.217773,12,11.13300037,0.034000002,0.170410007,2.198999882,49.47000122,72.2480545,21305412,2.730000019,81.44400024,2.546000004,3.191999912,2.546000004
3400.370117,12,11.01599979,0.021,0.236819997,2.177999973,76.6190033,91.04484558,27015012,2.900000095,82.68499756,2.247999907,1.248999953,2.247999907
3400.522705,7,11.59399986,0.021,0.328130007,2.194999933,122.5910034,103.575737,30832856,2.948999882,83.84100342,2.128999949,0.842999995,2.128999949
3400.675049,7,11.82800007,-0.002,0.404790014,2.203000069,151.8600006,102.6479721,30557532,2.788000107,84.84200287,2.200999975,0.781000018,2.200999975
3400.827393,7,10.5,-0.022,0.399410009,2.267999888,156.4779968,101.7237854,30300918,2.709000111,83.50900269,3.207999945,1.838000059,3.207999945
3400.979736,7,10.22700024,-0.025,0.330569983,2.371000052,145.9259949,92.59442139,27478542,2.828999996,84.59200287,4.322999954,7.372000217,4.322999954
3401.13208,7,10.29700089,0.008,0.240720004,2.512000084,164.9080048,100.34758,29832112,3.086999893,84.62799835,4.96999979,9.265999794,4.96999979
3401.284668,7,10.39099979,0.055,0.255370021,2.519999981,191.496994,108.1729736,32218846,3.512000084,83.75700378,4.804999828,6.796000004,4.804999828
3401.437012,7,10.36699963,0.028000001,0.31152001,2.394999981,211.6210022,125.7762909,37535200,3.842000008,83.00800324,4.75,4.686999798,4.75
3401.589356,7,10.35900021,-0.003,0.386720002,2.280999899,209.3860016,135.0646515,40474380,3.943000078,83.28299713,4.916999817,5.308000088,4.916999817
3401.741699,7,10.30500031,-0.001,0.413089991,2.236000061,185.1170044,135.7567749,40669424,3.905999899,83.65699768,4.860000134,6.597000122,4.860000134
3401.894287,7,10.30500031,-0.003,0.414059997,2.203000069,164.1009979,136.3522339,40839868,3.861999989,82.54000092,4.556000233,6.123000145,4.556000233
3402.046631,7,10.30500031,-0.002,0.422850013,2.194999933,140.154007,138.0125732,41350844,3.953999996,83.03099823,3.826999903,6.510000229,3.826999903
3402.198975,7,10.30500031,-0.002,0.429690003,2.203000069,142.3639984,139.381073,41728836,4.065999985,84.52700043,4.410999775,3.881000042,4.410999775
3402.351318,7,10.3199997,0.005,0.457029998,2.224999905,143.6190033,140.0556641,41981756,4.046999931,84.09899902,5.137000084,2.950000048,5.137000084
3402.503906,7,10.81299973,0.02,0.444819987,2.25,160.6679993,138.1725006,41420300,4.015999794,86.33599854,6.544000149,1.090000033,6.544000149
3402.65625,7,10.14799976,0.021,0.452639997,2.269999981,172.0700073,136.6118622,40922876,4.065999985,87.59100342,7.047999859,3.703999996,7.047999859
3402.808594,7,9.984000206,0.009,0.456050009,2.262000084,179.6009979,135.9021606,40676424,4.054999828,89.21700287,6.968999863,6.859000206,6.968999863
3402.960938,7,9.961000443,0.003,0.461910009,2.267999888,179.2510071,135.5183411,40585844,4.120999813,86.51200104,6.462999821,6.732999802,6.462999821
